clade_name,A23,A24,A25,A26,A27,A28,A29,A30,A31
k__Bacteria|p__Firmicutes|c__CFGB76782|o__OFGB76782|f__FGB76782|g__GGB80009|s__GGB80009_SGB53574|t__SGB53574,11.05813,17.32866,21.65382,2.24489,0.08561,0.39816,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB33838|s__GGB33838_SGB48279|t__SGB48279,0,0,0,6.4746,0,0.13934,6.19965,13.48983,2.57697
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_SGB6173|t__SGB6173,0.0003,0,0,0.0327,0.07076,0.6934,6.85476,1.44013,15.81711
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15095|t__SGB15095,10.61766,5.70143,1.62535,0.09547,0.1112,0.13518,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278,0,0,0,0,0,0,0,18.20174,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_unclassified_SGB15256|t__SGB15256,6.30444,0.48838,5.45373,2.93011,1.41495,0.81422,0.23136,0.04393,0.19655
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema|s__Treponema_porcinum|t__SGB3551,0.00968,0,0.00205,0.03687,0.09306,1.15076,8.33051,0.96521,7.23087
k__Bacteria|p__Bacteroidetes|c__CFGB1458|o__OFGB1458|f__FGB1458|g__GGB1458|s__GGB1458_SGB2021|t__SGB2021,0.31159,3.30523,1.4792,1.80653,1.32908,2.49745,3.83353,1.06009,1.10336
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens|t__SGB5763_group,2.46622,1.90216,1.89658,1.87316,0.97775,1.25015,1.44757,0.62925,3.73408
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_choerinum|t__SGB17280,0,0,0,0,0,0,0,16.04022,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_amylovorus|t__SGB7050,0.00681,0,0.02154,0,0,0,0,14.86955,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_D|t__SGB1636,0,0.00603,0.0814,1.70911,5.0009,5.29152,1.49239,0.54775,0.37205
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An172|t__SGB4271,4.21011,1.08323,8.72394,0.32629,0,0,0.12452,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai|t__SGB6778,0,0.51488,5.74086,5.06649,0.54464,1.84647,0.37327,0,0
